date,avg_level,unemployment_rate
1/7/97,189.4312903,0.12
1/8/97,189.6377419,0.11
1/9/97,190.56,0.07
1/10/97,190.7180645,0.07
1/11/97,190.3666667,0.07
1/12/97,189.6706452,0.07
1/1/98,188.7919355,0.08
1/2/98,187.925,0.06
1/3/98,187.0393548,0.09
1/4/98,186.4816667,0.06
1/5/98,186.4141935,0.08
1/6/98,186.4013333,0.06
1/7/98,186.5348387,0.05
1/8/98,187.0975806,0.06
1/9/98,187.2536667,0.08
1/10/98,187.4580645,0.07
1/11/98,187.2966667,0.1
1/12/98,186.8080645,0.08
1/1/99,185.9416129,0.08
1/2/99,185.1235714,0.07
1/3/99,184.46,0.06
1/4/99,183.8576667,0.05
1/5/99,183.3848387,0.05
1/6/99,183.4586667,0.06
1/7/99,183.5596774,0.05
1/8/99,184.8348387,0.05
1/9/99,186.076,0.07
1/10/99,186.1912903,0.05
1/11/99,185.9056667,0.04
1/12/99,185.2696774,0.04
1/1/00,184.8183871,0.07
1/2/00,183.9937931,0.06
1/3/00,183.2616129,0.05
1/4/00,182.6733333,0.07
1/5/00,182.4941935,0.07
1/6/00,182.6256667,0.07
1/7/00,183.4987097,0.07
1/8/00,185.1480645,0.08
1/9/00,187.324,0.07
1/10/00,189.2845161,0.06
1/11/00,193.083,0.08
1/12/00,193.2396774,0.07
1/1/01,192.6203226,0.07
1/2/01,192.0157143,0.04
1/3/01,190.956129,0.05
1/4/01,190.0633333,0.06
1/5/01,189.846129,0.08
1/6/01,189.8053333,0.05
1/7/01,189.8362903,0.04
1/8/01,189.883871,0.05
1/9/01,189.9306667,0.05
1/10/01,189.7,0.04
1/11/01,189.3823333,0.06
1/12/01,188.7209677,0.04
1/1/02,187.9016129,0.07
1/2/02,186.8267857,0.07
1/3/02,185.3087097,0.04
1/4/02,184.0023333,0.05
1/5/02,183.4706452,0.06
1/6/02,183.3803333,0.06
1/7/02,183.4116129,0.04
1/8/02,183.2306452,0.04
1/9/02,182.7926667,0.06
1/10/02,182.1367742,0.05
1/11/02,181.2613333,0.06
